author,n.e,mean.e,sd.e,n.c,mean.c,sd.c,Year,Region,Disease_type
Babu 2022,20,2.5,3.1,22,2.4,3.1,2022,Europe,NAFLD
Haufe 2021,154,3.3,3.2,154,3.2,3.4,2021,Europe,MetS
Houghton 2017,12,4.9,4.9,12,3.1,3.0,2017,Europe,NASH
Keating 2023,7,5.5,8.1,5,12.2,11.5,2023,Australia,NASH
