author,n.e,mean.e,sd.e,n.c,mean.c,sd.c,Year,Region,Disease_type
Adelbassett 2020,31,10.29,1.39,16,11.10,5.20,2020,North_Africa,NAFLD
Sullivan 2012,12,17.46,9.73,6,23.86,23.64,2012,North_America,NAFLD
