author,n.e,mean.e,sd.e,n.c,mean.c,sd.c,Year,Region,Disease_type
Babu 2022,20,70.70,26.20,22,71.30,24.30,2022,Europe,NAFLD
Balducci 2015,303,59.50,26.20,303,70.20,21.80,2015,Europe,T2DM
