author,n.e,mean.e,sd.e,n.c,mean.c,sd.c,Year,Region,Disease_type
Houghton 2017,12,2.3,0.7,12,2.4,0.7,2017,Europe,NASH
Keating 2023,7,12,3.7,5,11.1,4.2,2023,Australia,NASH
Rezende 2016,12,9.02,3.69,14,9.57,3.21,2016,South_America,NAFLD
