author,n.e,mean.e,sd.e,n.c,mean.c,sd.c,Year,Region,Disease_type
Stine 2022,18,0.46,0.15,10,0.72,0.76,2022,North_America,NASH
Haufe 2021,132,0.35,0.01,142,0.39,0.02,2021,Europe,MetS
